id,city,population_change_from_1990_to_2010
29,Kinshasa,8.75
5,Mexico_City,4.15
28,Guangzhou,8.88
20,Istanbul,3.97
4,Mumbai,7.73
21,Paris,1.16
7,Shanghai,8.76
14,Rio_de_Janeiro,2.36
36,Saint_Petersburg,-4.99
15,Manila,3.66
32,Hong_Kong,-5.68
8,Kolkata,4.66
3,Sao_Paulo,5.48
13,Beijing,5.6
34,Chennai,-5.34
22,Seoul,-0.77
19,Moscow,1.56
25,Chicago,1.83
11,Buenos_Aires,2.56
35,Bangkok,-5.89
31,Tianjin,0.0
6,New_York,3.34
12,Los_Angeles,1.88
33,Tehran,-6.36
26,Shenzhen,9.01
10,Karachi,5.97
23,Chongqing,9.4
9,Dhaka,8.03
1,Tokyo,4.14
24,Jakarta,1.03
39,Detroit,0.0
38,Philadelphia,0.0
16,Osaka_Kobe,0.3
2,New_Delhi,12.43
17,Cairo,1.94
18,Lagos,10.58
30,London,0.98
37,Madrid,0.0
27,Lima,3.1
