Long, Lat, Temp_in_F
21.0,39.0,52.34
21.0,32.0,64.22
21.0,31.0,67.46
21.0,30.0,70.52
21.0,29.0,72.5
21.0,28.0,71.24
21.0,27.0,71.24
21.0,26.0,72.86
21.0,25.0,73.58
21.0,24.0,73.4
21.0,23.0,74.48
21.0,22.0,74.84
21.0,21.0,78.08
21.0,20.0,81.14
21.0,19.0,81.32
21.0,18.0,81.5
21.0,17.0,83.66
21.0,16.0,82.94
21.0,15.0,82.22
21.0,14.0,79.34
21.0,13.0,81.5
21.0,12.0,80.42
21.0,11.0,80.42
22.0,39.0,61.52
22.0,38.0,63.86
22.0,37.0,59.36
22.0,32.0,66.2
22.0,31.0,67.1
22.0,30.0,71.06
22.0,29.0,71.78
22.0,28.0,71.6
22.0,27.0,72.14
22.0,26.0,73.4
22.0,25.0,73.58
22.0,24.0,74.66
22.0,23.0,73.94
22.0,22.0,74.48
22.0,21.0,77.0
22.0,20.0,79.7
22.0,19.0,80.24
22.0,18.0,82.94
22.0,17.0,76.28
22.0,16.0,78.62
22.0,15.0,76.46
22.0,14.0,74.3
22.0,13.0,76.82
22.0,12.0,78.44
22.0,11.0,79.52
23.0,39.0,60.98
23.0,38.0,63.14
23.0,32.0,67.82
23.0,31.0,66.56
23.0,30.0,69.62
23.0,29.0,70.52
23.0,28.0,70.16
23.0,27.0,71.06
23.0,26.0,72.5
23.0,25.0,72.5
23.0,24.0,72.86
23.0,23.0,71.6
23.0,22.0,73.76
23.0,21.0,75.92
23.0,20.0,76.82
23.0,19.0,79.7
23.0,18.0,80.06
23.0,17.0,76.1
23.0,16.0,77.54
23.0,15.0,77.72
23.0,14.0,76.28
23.0,13.0,75.02
23.0,12.0,76.28
23.0,11.0,78.62
24.0,38.0,64.04
24.0,35.0,57.2
24.0,31.0,66.56
24.0,30.0,69.44
24.0,29.0,70.16
24.0,28.0,69.44
24.0,27.0,70.16
24.0,26.0,72.5
24.0,25.0,73.22
24.0,24.0,73.94
24.0,23.0,71.78
24.0,22.0,71.96
24.0,21.0,73.76
24.0,20.0,76.82
24.0,19.0,79.16
24.0,18.0,79.7
24.0,17.0,80.96
24.0,16.0,78.62
24.0,15.0,76.28
24.0,14.0,72.14
24.0,13.0,69.98
24.0,12.0,77.0
24.0,11.0,79.16
25.0,35.0,65.3
25.0,31.0,66.56
25.0,30.0,68.18
25.0,29.0,69.8
25.0,28.0,69.26
25.0,27.0,69.44
25.0,26.0,71.96
25.0,25.0,71.78
25.0,24.0,69.62
25.0,23.0,70.16
25.0,22.0,69.8
25.0,21.0,72.32
25.0,20.0,75.56
25.0,19.0,79.7
25.0,18.0,80.78
25.0,17.0,80.42
25.0,16.0,78.26
25.0,15.0,72.86
25.0,14.0,72.86
25.0,13.0,77.36
25.0,12.0,80.6
25.0,11.0,80.96
26.0,39.0,62.24
26.0,38.0,65.66
26.0,31.0,66.02
26.0,30.0,66.92
26.0,29.0,68.54
26.0,28.0,69.26
26.0,27.0,69.62
26.0,26.0,69.08
26.0,25.0,71.06
26.0,24.0,67.82
26.0,23.0,66.02
26.0,22.0,71.06
26.0,21.0,72.86
26.0,20.0,75.92
26.0,19.0,78.26
26.0,18.0,79.52
26.0,17.0,79.88
26.0,16.0,77.0
26.0,15.0,75.38
26.0,14.0,76.82
26.0,13.0,78.8
26.0,12.0,80.6
26.0,11.0,81.14
27.0,39.0,60.26
27.0,38.0,63.14
27.0,30.0,66.02
27.0,28.0,69.62
27.0,27.0,70.34
27.0,26.0,69.44
27.0,25.0,69.8
27.0,24.0,69.62
27.0,23.0,69.08
27.0,22.0,73.04
27.0,21.0,75.56
27.0,20.0,76.46
27.0,19.0,75.74
27.0,18.0,75.92
27.0,17.0,78.44
27.0,16.0,77.36
27.0,15.0,77.18
27.0,14.0,79.7
27.0,13.0,79.88
27.0,12.0,80.78
27.0,11.0,81.68
28.0,39.0,57.02
28.0,38.0,59.18
28.0,37.0,60.8
28.0,30.0,68.9
28.0,29.0,70.7
28.0,28.0,69.62
28.0,27.0,70.88
28.0,26.0,69.26
28.0,25.0,71.6
28.0,24.0,71.24
28.0,23.0,72.68
28.0,22.0,75.56
28.0,21.0,77.36
28.0,20.0,78.8
28.0,19.0,78.98
28.0,18.0,78.98
28.0,17.0,79.7
28.0,16.0,79.88
28.0,15.0,80.6
28.0,14.0,80.24
28.0,13.0,80.06
28.0,12.0,80.42
28.0,11.0,81.14
29.0,39.0,53.24
29.0,38.0,58.46
29.0,37.0,55.22
29.0,30.0,68.54
29.0,29.0,68.72
29.0,28.0,69.8
29.0,27.0,69.26
29.0,26.0,71.78
29.0,25.0,72.86
29.0,24.0,71.06
29.0,23.0,74.66
29.0,22.0,76.64
29.0,21.0,78.26
29.0,20.0,79.16
29.0,19.0,80.42
29.0,18.0,80.24
29.0,17.0,80.24
29.0,16.0,81.68
29.0,15.0,79.52
29.0,14.0,80.24
29.0,13.0,78.98
29.0,12.0,80.24
29.0,11.0,81.14
